"Name","Live Bytes","Live Objects"
"com.fasterxml.jackson.databind.ser.DefaultSerializerProvider$Impl","1.800 B (0 %)","25 (0 %)"
"org.springframework.beans.factory.support.GenericBeanDefinition","1.768 B (0 %)","17 (0 %)"
"java.text.DecimalFormatSymbols","1.760 B (0 %)","20 (0 %)"
"org.apache.tomcat.util.res.StringManager$1","1.736 B (0 %)","31 (0 %)"
"java.lang.module.ModuleDescriptor$Provides","1.728 B (0 %)","72 (0 %)"
"sun.util.calendar.Gregorian$Date","1.728 B (0 %)","18 (0 %)"
"sun.reflect.generics.tree.MethodTypeSignature","1.728 B (0 %)","54 (0 %)"
"java.util.Hashtable$Entry[]","1.720 B (0 %)","27 (0 %)"
"org.springframework.util.LinkedCaseInsensitiveMap","1.720 B (0 %)","43 (0 %)"
"sun.reflect.annotation.AnnotationType","1.696 B (0 %)","53 (0 %)"
"com.sun.proxy.$Proxy1","1.696 B (0 %)","106 (0 %)"
"java.io.ObjectStreamClass$ClassDataSlot[]","1.696 B (0 %)","68 (0 %)"
"java.lang.reflect.TypeVariable[]","1.688 B (0 %)","76 (0 %)"
"com.fasterxml.jackson.databind.type.SimpleType","1.680 B (0 %)","35 (0 %)"
"java.util.HashMap$ValueIterator","1.680 B (0 %)","42 (0 %)"
"jdk.internal.module.SystemModuleFinders$2","1.680 B (0 %)","70 (0 %)"
"java.util.ResourceBundle$BundleReference","1.600 B (0 %)","40 (0 %)"
"sun.reflect.generics.reflectiveObjects.TypeVariableImpl","1.600 B (0 %)","50 (0 %)"
"java.time.temporal.ValueRange","1.584 B (0 %)","33 (0 %)"
"byte[][]","1.568 B (0 %)","1 (0 %)"
"java.util.regex.Pattern$BmpCharProperty","1.560 B (0 %)","65 (0 %)"
"java.util.zip.ZipFile$Source$Key","1.560 B (0 %)","65 (0 %)"
"org.springframework.cglib.core.Signature","1.560 B (0 %)","65 (0 %)"
"javax.management.MBeanOperationInfo","1.560 B (0 %)","39 (0 %)"
"java.util.HashMap$KeySet","1.552 B (0 %)","97 (0 %)"
"java.io.DataInputStream","1.536 B (0 %)","48 (0 %)"
"org.springframework.core.convert.TypeDescriptor$AnnotatedElementAdapter","1.488 B (0 %)","62 (0 %)"
"sun.rmi.transport.StreamRemoteCall","1.480 B (0 %)","37 (0 %)"
"java.io.ObjectOutputStream$BlockDataOutputStream","1.480 B (0 %)","37 (0 %)"
"org.springframework.util.ConcurrentReferenceHashMap","1.480 B (0 %)","37 (0 %)"
"org.attoparser.HtmlBodyElement","1.472 B (0 %)","46 (0 %)"
"jdk.internal.module.SystemModuleFinders$SystemModuleReader","1.464 B (0 %)","61 (0 %)"
"java.lang.module.ResolvedModule","1.464 B (0 %)","61 (0 %)"
"java.util.Arrays$ArrayList","1.440 B (0 %)","60 (0 %)"
"org.springframework.core.annotation.TypeMappedAnnotations","1.440 B (0 %)","36 (0 %)"
"org.springframework.core.convert.TypeDescriptor","1.416 B (0 %)","59 (0 %)"
"java.lang.annotation.ElementType[]","1.384 B (0 %)","51 (0 %)"
"javax.management.MBeanOperationInfo[]","1.376 B (0 %)","47 (0 %)"
"jdk.internal.math.FDBigInteger[]","1.376 B (0 %)","1 (0 %)"
"java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask","1.368 B (0 %)","19 (0 %)"
"java.util.PropertyResourceBundle","1.360 B (0 %)","34 (0 %)"
"javax.management.MBeanParameterInfo","1.344 B (0 %)","42 (0 %)"
"java.util.Hashtable$Entry","1.344 B (0 %)","42 (0 %)"
"java.text.DateFormatSymbols","1.344 B (0 %)","21 (0 %)"
"java.nio.DirectByteBuffer","1.344 B (0 %)","21 (0 %)"
"java.time.format.DateTimeFormatterBuilder$DateTimePrinterParser[]","1.344 B (0 %)","39 (0 %)"
"java.io.ObjectInputStream$PeekInputStream","1.344 B (0 %)","42 (0 %)"
"java.io.ObjectInputStream$HandleTable","1.344 B (0 %)","42 (0 %)"
"java.lang.reflect.Parameter[]","1.328 B (0 %)","52 (0 %)"
"org.springframework.core.annotation.AttributeMethods","1.312 B (0 %)","41 (0 %)"
"jdk.internal.reflect.UnsafeQualifiedStaticLongFieldAccessorImpl","1.312 B (0 %)","41 (0 %)"
"java.util.PropertyPermission","1.312 B (0 %)","41 (0 %)"
"com.sun.management.internal.DiagnosticCommandImpl$Wrapper","1.312 B (0 %)","41 (0 %)"
"java.util.Hashtable","1.296 B (0 %)","27 (0 %)"
"java.lang.invoke.MemberName[]","1.296 B (0 %)","9 (0 %)"
"java.lang.invoke.MethodHandleImpl$AsVarargsCollector","1.280 B (0 %)","32 (0 %)"
"java.math.BigInteger[]","1.280 B (0 %)","39 (0 %)"
